id,date,headline,medium,length,text
111541965,2013-02-12 00:00:00,Barack Obama,Democrats,62,"It is our unfinished task to restore the basic bargain that built this country: the idea that if you work hard and meet your responsibilities, you can get ahead, no matter where you come from, no matter what you look like or who you love. "
111541995,2013-02-12 00:00:00,Barack Obama,Democrats,122,"So tonight I propose a Fix-It-First program to put people to work as soon as possible on our most urgent repairs, like the nearly 70,000 structurally deficient bridges across the country. And to make sure taxpayers don't shoulder the whole burden, I'm also proposing a partnership to rebuild America that attracts private capital to upgrade what our businesses need most: modern ports to move our goods, modern pipelines to withstand a storm, modern schools worthy of our children. Let's prove there's no better place to do business than here in the United States of America, and let's start right away. We can get this done. "
111542001,2013-02-12 00:00:00,Barack Obama,Democrats,118,"Every dollar we invest in high-quality early childhood education can save more than 7 dollars later on: by boosting graduation rates, reducing teen pregnancy, even reducing violent crime. In States that make it a priority to educate our youngest children, like Georgia or Oklahoma, studies show students grow up more likely to read and do math at grade level, graduate high school, hold a job, form more stable families of their own. We know this works. So let's do what works and make sure none of our children start the race of life already behind. Let's give our kids that chance. "
111542006,2013-02-12 00:00:00,Barack Obama,Democrats,80,So tonight I ask Congress to change the Higher Education Act so that affordability and value are included in determining which colleges receive certain types of Federal aid. And tomorrow my administration will release a new college scorecard that parents and students can use to compare schools based on a simple criterion: where you can get the most bang for your educational buck. 
111542013,2013-02-12 00:00:00,Barack Obama,Democrats,110,"But we can't stop there. We know our economy is stronger when our wives, our mothers, our daughters can live their lives free from discrimination in the workplace and free from the fear of domestic violence. Today the Senate passed the ""Violence Against Women's Act"" that Joe Biden originally wrote almost 20 years ago. And I now urge the House to do the same. Good job, Joe. And I ask this Congress to declare that women should earn a living equal to their efforts, and finally pass the ""Paycheck Fairness Act"" this year. "
111542018,2013-02-12 00:00:00,Barack Obama,Democrats,106,"Let's offer incentives to companies that hire Americans who've got what it takes to fill that job opening, but have been out of work so long that no one will give them a chance anymore. Let's put people back to work rebuilding vacant homes in rundown neighborhoods. And this year, my administration will begin to partner with 20 of the hardest hit towns in America to get these communities back on their feet. Now, we'll work with local leaders to target resources at public safety and education and housing. "
111542020,2013-02-12 00:00:00,Barack Obama,Democrats,59,"Stronger families. Stronger communities. A stronger America. It is this kind of prosperity—broad, shared, built on a thriving middle class—that has always been the source of our progress at home. It's also the foundation of our power and influence throughout the world. "
111542025,2013-02-12 00:00:00,Barack Obama,Democrats,131,"Now, as we do, we must enlist our values in the fight. That's why my administration has worked tirelessly to forge a durable legal and policy framework to guide our counterterrorism efforts. Throughout, we have kept Congress fully informed of our efforts. I recognize that in our democracy, no one should just take my word for it that we're doing things the right way. So, in the months ahead, I will continue to engage Congress to ensure not only that our targeting, detention, and prosecution of terrorists remains consistent with our laws and system of checks and balances, but that our efforts are even more transparent to the American people and to the world. "
111542032,2013-02-12 00:00:00,Barack Obama,Democrats,104,"Now, even as we protect our people, we should remember that today's world presents not just dangers, not just threats, it presents opportunities. To boost American exports, support American jobs and level the playing field in the growing markets of Asia, we intend to complete negotiations on a Trans-Pacific Partnership. And tonight I'm announcing that we will launch talks on a comprehensive transatlantic trade and investment partnership with the European Union, because trade that is fair and free across the Atlantic supports millions of good-paying American jobs. "
111542044,2013-02-12 00:00:00,Barack Obama,Democrats,101,"One of those we lost was a young girl named Hadiya Pendleton. She was 15 years old. She loved Fig Newtons and lip gloss. She was a majorette. She was so good to her friends, they all thought they were her best friend. Just 3 weeks ago, she was here, in Washington, with her classmates, performing for her country at my Inauguration. And a week later, she was shot and killed in a Chicago park after school, just a mile away from my house. "
111542057,2014-01-28 00:00:00,Barack Obama,Democrats,119,"The question for everyone in this Chamber, running through every decision we make this year, is whether we are going to help or hinder this progress. For several years now, this town has been consumed by a rancorous argument over the proper size of the Federal Government. It's an important debate, one that dates back to our very founding. But when that debate prevents us from carrying out even the most basic functions of our democracy—when our differences shut down Government or threaten the full faith and credit of the United States—then we are not doing right by the American people. "
111542063,2014-01-28 00:00:00,Barack Obama,Democrats,94,"As usual, our First Lady sets a good example. [Applause] Well—[applause]. Michelle's ""Let's Move!"" partnership with schools, businesses, local leaders has helped bring down childhood obesity rates for the first time in 30 years. And that's an achievement that will improve lives and reduce health care costs for decades to come. The Joining Forces alliance that Michelle and Jill Biden launched has already encouraged employers to hire or train nearly 400,000 veterans and military spouses. "
111542064,2014-01-28 00:00:00,Barack Obama,Democrats,86,"Taking a page from that playbook, the White House just organized a College Opportunity Summit, where already, 150 universities, businesses, nonprofits have made concrete commitments to reduce inequality in access to higher education and to help every hard-working kid go to college and succeed when they get to campus. And across the country, we're partnering with mayors, Governors, and State legislatures on issues from homelessness to marriage equality. "
111542071,2014-01-28 00:00:00,Barack Obama,Democrats,138,"Listen, China and Europe aren't standing on the sidelines, and neither should we. We know that the nation that goes all-in on innovation today will own the global economy tomorrow. This is an edge America cannot surrender. Federally funded research helped lead to the ideas and inventions behind Google and smartphones. And that's why Congress should undo the damage done by last year's cuts to basic research so we can unleash the next great American discovery. There are entire industries to be built based on vaccines that stay ahead of drug-resistant bacteria or paper-thin material that's stronger than steel. And let's pass a patent reform bill that allows our businesses to stay focused on innovation, not costly and needless litigation. "
