"","id","medium","headline","date"
"1",111541965,"Speeches","Barack Obama",2013-02-12
"2",111541995,"Speeches","Barack Obama",2013-02-12
"3",111542001,"Speeches","Barack Obama",2013-02-12
"4",111542006,"Speeches","Barack Obama",2013-02-12
"5",111542013,"Speeches","Barack Obama",2013-02-12
"6",111542018,"Speeches","Barack Obama",2013-02-12
"7",111542020,"Speeches","Barack Obama",2013-02-12
"8",111542025,"Speeches","Barack Obama",2013-02-12
"9",111542032,"Speeches","Barack Obama",2013-02-12
"10",111542044,"Speeches","Barack Obama",2013-02-12
"11",111542057,"Speeches","Barack Obama",2014-01-28
"12",111542063,"Speeches","Barack Obama",2014-01-28
"13",111542064,"Speeches","Barack Obama",2014-01-28
"14",111542071,"Speeches","Barack Obama",2014-01-28
"15",111542088,"Speeches","Barack Obama",2014-01-28
"16",111542107,"Speeches","Barack Obama",2014-01-28
"17",111542114,"Speeches","Barack Obama",2014-01-28
"18",111542119,"Speeches","Barack Obama",2014-01-28
"19",111542126,"Speeches","Barack Obama",2014-01-28
"20",111542133,"Speeches","Barack Obama",2014-01-28
"21",111542139,"Speeches","Barack Obama",2009-02-24
"22",111542157,"Speeches","Barack Obama",2009-02-24
"23",111542164,"Speeches","Barack Obama",2009-02-24
"24",111542169,"Speeches","Barack Obama",2009-02-24
"25",111542177,"Speeches","Barack Obama",2009-02-24
"26",111542184,"Speeches","Barack Obama",2009-02-24
"27",111542189,"Speeches","Barack Obama",2009-02-24
"28",111542203,"Speeches","Barack Obama",2009-02-24
"29",111542204,"Speeches","Barack Obama",2009-02-24
"30",111542208,"Speeches","Barack Obama",2009-02-24
"31",111542253,"Speeches","Barack Obama",2010-01-27
"32",111542258,"Speeches","Barack Obama",2010-01-27
"33",111542260,"Speeches","Barack Obama",2010-01-27
"34",111542265,"Speeches","Barack Obama",2010-01-27
"35",111542272,"Speeches","Barack Obama",2010-01-27
"36",111542278,"Speeches","Barack Obama",2010-01-27
"37",111542284,"Speeches","Barack Obama",2010-01-27
"38",111542285,"Speeches","Barack Obama",2010-01-27
"39",111542289,"Speeches","Barack Obama",2010-01-27
"40",111542291,"Speeches","Barack Obama",2010-01-27
"41",111542304,"Speeches","Barack Obama",2011-01-25
"42",111542342,"Speeches","Barack Obama",2011-01-25
"43",111542347,"Speeches","Barack Obama",2011-01-25
"44",111542354,"Speeches","Barack Obama",2011-01-25
"45",111542359,"Speeches","Barack Obama",2011-01-25
"46",111542361,"Speeches","Barack Obama",2011-01-25
"47",111542373,"Speeches","Barack Obama",2011-01-25
"48",111542392,"Speeches","Barack Obama",2011-01-25
"49",111542397,"Speeches","Barack Obama",2011-01-25
"50",111542400,"Speeches","Barack Obama",2011-01-25
"51",111542412,"Speeches","Barack Obama",2012-01-24
"52",111542417,"Speeches","Barack Obama",2012-01-24
"53",111542429,"Speeches","Barack Obama",2012-01-24
"54",111542431,"Speeches","Barack Obama",2012-01-24
"55",111542467,"Speeches","Barack Obama",2012-01-24
"56",111542474,"Speeches","Barack Obama",2012-01-24
"57",111542479,"Speeches","Barack Obama",2012-01-24
"58",111542481,"Speeches","Barack Obama",2012-01-24
"59",111542486,"Speeches","Barack Obama",2012-01-24
"60",111542493,"Speeches","Barack Obama",2012-01-24
"61",111542519,"Speeches","George W. Bush",2005-02-02
"62",111542521,"Speeches","George W. Bush",2005-02-02
"63",111542526,"Speeches","George W. Bush",2005-02-02
"64",111542533,"Speeches","George W. Bush",2005-02-02
"65",111542540,"Speeches","George W. Bush",2005-02-02
"66",111542544,"Speeches","George W. Bush",2005-02-02
